Комментарии,Эмоциональная окраска
"Скачал зарегался смотрю контента много ну подумал супер хочу зайти на канал мне пишут извините нет. Доступа захожу на другой тоже самое. Ради интереса нажимаю на третий и что вы думаете нет доступа приложение просто ""класс”👍😆😆😆",Негативная
Приложение топ,Позитивная
Прекрасное приложение пользуюсь неделю на нужное время находит телешоу,Позитивная
Почему для того чтобы просто создать плейлист всё нужно вывернуть наизнанку Сделайте как можно проще в два клика И нельзя добавить плейлисты на свой аккаунт как на ютубе Да в конце концов просто скопируйте сделав пару штрихов,Негативная
"Добавьте пожалуйста отдельную вкладку коротких видео Как в ютубе вкладка ""Shorts"".",Негативная
"Минус 1 оценка за названия , почему английскими буквами, если это русский сервис ?",Нейтральная
"Не получилось найти историю просмотренного в приложении на телевизоре, реализовано?",Негативная
"Не смотря на негативные отзывы, я решила всё-таки попробовать это приложение, оно оказалось очень классным, я не знаю, почему его критикуют удобно, практично можно смотреть абсолютно практически все фильмы!!!! 🤩",Позитивная
"Хуэта, поисковик это просто ппц.",Негативная
Сплошная реклама!!!,Негативная
Каналы матч че и ещё несколько не работают .,Негативная
"Сама задумка отличная, но постоянно зависает, выкидывает из аккаунта и почему то история не сохраняется. Со всего этого очень беспокоит то, что невозможно посмотреть передачи, на столько сильно зависает, хотя интернет хороший ... Включаешь ю туб или другое приложение, оно хорошо идёт.... Пожалуйста, доделайте программу 🙏",Негативная
Отвратительный интелектуальный поиск. Следует отладить программу,Негативная
ничего нормального нету.,Негативная
"Всё работает без нареканий, крутое приложение, мне очень нравится",Позитивная
"Перестали приходить пуши. Интерфейс отсталый, плеер стремный.",Негативная
Ложь,Мусор
"Кошмар, звук есть , изображение виснет. На любых носителях Спасибо за оперативный ответ разработчикам . Попробую сделать, как вы рекомендуете. Результатом поделюсь.",Негативная
Ху#та вафельная !!! троит как будто на сименсе с45м смотрешь,Негативная
Ужасно,Негативная
"Не возможно войти в учетку через тв приставку, при авторизации по ссылке выкидывает в пиложение и на хто все, нет раздела подключенные устройства...нет возможности вам ответить техподдержка, но ваши рекомендация ни дает конечного результата. Не ясно ваши рекомендации!",Негативная
здравствуйте я использую девайс реалме 5g и когда захожу в рутуб и сразу вылетает пожалуйста исправьте ошибку!!,Негативная
Что с вашим Rutube. Во 1 зависает видео.. Во вторых мало фильмов и сериалов.. В 3 добавьте больше сериалов и фильмов..,Негативная
"Приложение отличное,но время не совпадает,с настоящим временем...😿🌺 пожалуйста сделайте время для Барнаула.🌺😽.",Негативная
"Установил, ни чего интересного не нашёл, бред какой то, удалил!",Негативная
"Ничего толком непонятно, приложение недоработанное. Добавил видео в плейлист ""смотреть позже"" но сам плейлист нигде найти не могу. Также непонятно как удалить историю просмотра, как начать трансляцию и загружать видео. Нет возможности ответить на комментарий другого пользователя, только добавить свой. Из плюсов только: есть контент которого нет на ютуб. Если улучшите приложение поставлю более высокую оценку",Негативная
👍👍👍,Позитивная
"Приложение ужасное! Просто ужасно! не советую скачивать очень сильно лагает и очень плохое качество, у меня вообще не загружается фильмы?! 😡🚩",Негативная
"Очень классное приложение ,где ты можешь посмотреть фильмы ,сериалы ,видео блогеров. Советую,",Позитивная
"Отличное приложение. Удобное меню. Можно смотреть любимые передачи и шоу, не подстраиваясь под программу телепередач.",Позитивная
"Классное приложение, множество фильмов и сериала, а также многое другое 👍👍👍👍👍👍",Позитивная
"Это вообще кошмар! Даже звезду ставить не за что! Позиционируют себя как замена ютубу, а смотреть невозможно! Удаляю!!!",Негативная
"Подключенное устройство (телевизор) ежедневно требует авторизацию, каждый раз приходится авторизоваться через QR код. Ежедневно, чтобы включить RuTube на телевизоре приходится переходить по ссылке, вводить код, это уже очень сильно надоело. Приложение не клиентоориеетировано! Оно раздражает! Это очень не удобно! Хорошо, что есть альтернативные источники посмотреть свои любимые программы - сайты, YouTube, VK. До свидания, RuTube, так больше невыносимо ((",Негативная
Очень кривое приложение. Служба поддержки- ужас.,Негативная
"Приложение вирус не советую, на дисплее телефона баннером постоянно вылазит реклама скачать ваше приложение я та обнимаю распространение рекламы через вирусное приложение",Негативная
Грузит очень долго. Хотя у меня интернет очень хороший. Сделайте с этим что-нибудь,Негативная
"Zoʻr,",Мусор
"Ютуб супер, Вк видео супер, рутуб лагает страшно, виснет постоянно, решите проблему, невозможно смотреть",Негативная
1. Минимум три раза в год приходиться заново входить в аккаунт 2. Убогие! Как войти в аккаунт на mi stick?,Негативная
"Рутуб нравится, работает не корректно, видео запускаешь, звук есть а видео не показывает.",Негативная
"Мне нравится очень,хорошее приложение, рекомендую",Позитивная
Очень хорошее приложение рекомендую всем ( ͡° ͜ʖ ͡°),Позитивная
А где короткие видео Как шортсы или тик ток или вк видео? Или такое направление не актуально?,Нейтральная
"Плюс за работу в фоновом. Минус за очистку истории просмотра и поиска, их просто нет.",Нейтральная
"Поиск не работает. Настолько тупое приложение, что необходимо в поиске писать слово в слово, чтобы что-то найти. Уж лучше в Ютюбе посижу.",Негативная
"👍👍👍Я думаю, вы будете лучше Ютуба!",Позитивная
"Возьмите меня директором, я вас научу работать!",Негативная
"Куда вы запихнули ""вкладку мои устройства""? Или его просто нет в приложении, а при сканировании кода с ТВ для авторизации включается именно приложение. Только на сайте смог подтянуть телевизор",Негативная
"Приложение очень нравится, есть на всех устройствах, очень хорошее качество что не может не радовать. Много телеканалов и тд",Позитивная
Работает отлично. Классное приложение. Интересный контент.,Позитивная
Приложение очень удобная,Позитивная
Очень классное приложение. Всё очень хорошо работает. Отличные подборки,Позитивная
Отвратительный поиск и выдача контента.,Негативная
"Всё сделано отлично, всём советую!",Позитивная
"Приложение путём не грузит, виснит все видеоролики. Явно хуже чем ютуб.",Негативная
"А что это такое произошло после последнего обновления? Примерно минут через пять после того, как погасишь принудительно экран, прерывается проигрывание ролики, хотя раньше хоть часами слушай. Приходится разблокировать смарт, нажимать на воспроизведение и опять гасить экран. Очень неудобно стало.",Негативная
Хорошие приложение нечего лишнего,Позитивная
"Классно что наши делают приложения, молодцы ребята! Есть так же и куда расти. Например, можно сделать авто подстроку видео под экран, а то поля все время в ручную приходиться убирать. Ещё чтобы на перемотке не приходилось искать ползунок, а сразу на отрезке выбирать момент куда нужно перемотать. Спасибо за классное приложение!)",Нейтральная
"Очень нравится приложение,",Позитивная
Улучшайтесь продолжайте молодцы оч нравится что можно вывести окно и капашиться в телефоне в других приложениях нравится что можно слушать при забл экране нравится что оно регулируется по размеру молодцы продолжайте,Позитивная
"Видео с качеством 144р ели как загружает. Соединение с интернетом хорошее, все приложения работают нормально, кроме вашего.",Негативная
Большая просьба - сделать отключение автовоспроизведения видео на страницах. Это сбрасывает полосу просмотра.,Негативная
"Хорошее приложение. Не глючит, интерфейс нормальный",Позитивная
все супер,Позитивная
а как по мне приложение норм,Нейтральная
Хорошее приложение как Ютуб будет заменой и круто что наконец то начали делать качественные русские приложение,Позитивная
"Периодически захожу проверить что нового в том убожестве,но чудес не происходит.На тв вообще смотреть не возможно. Сделайте премиум за адекватную цену чтоб было сохранение на устройстве,без рекламы,плейлисты.",Негативная
Не работает на google chromcast...просто крутится круг и пустота...,Негативная
"Постоянно зависает изображение а звук идëт, ужас конечно",Негативная
"Да скачать ничего нельзя, но можно посмотреть фильм без рекламы. Жалко что обновляется не часто, и на некоторые фильмы кончились права показа! Не пойму зачем они в списке?",Негативная
Не нашел историю просмотров,Негативная
"удобное, многофункциональное приложение. мне понравилось в использовании, всем советую!!",Позитивная
Намного лучше стало. Потихоньку делаем своё. Спасибо. Еще лучше. Очень рад. Удобно. Тв онлайн вообще класс,Позитивная
Привлекает интересный дизайн приложения. Регистрация простая.Видео работают без проблем. Меню удобно в использовании,Позитивная
"Это приложение стало классным, почти нет рекламы, и не тормозит.",Позитивная
"Удобное приложение, мне оно понравилось!!!",Позитивная
"Удобный сервис! Честно признаться, в начале с огромным скепсисом смотрела в сторону рутуба, но это приложение определенно стоит внимания!",Позитивная
"Не понял, а почему престало работать!!! ВОБЩЕ!!!!!!!!!!!!!!!!!!!!!!!!! Полнейший отстой!!! Даже после переустановки не работает. Ндаа, чтобы что то поискать, надо регистрироваться! Зачем??? Только место занимает ваше приложение. Снёс ваше приложение. За ненадобностью. Спасибо.",Негативная
"Приложение сносно, НО ЖРЕТ ИНТЕРНЕТ ЗА ОДИН ДЕНЬ ВЫЖРАЛ 20ГБ ЭТО ВООБЩЕ НОРМАЛЬНО, если в ютубе весь день лазить то снимет 1,5гб . ОТВРАТИТЕЛЬНОЕ ПРИЛОЖЕНИЕ",Негативная
"Так себе, приложение только РФ контенты, и ничего нового нету",Негативная
"Ну опять собирала обезьяна на коленке за 3 обгрызанные копейки. Минусов настолько много, и настолько отвратно-принудительное навязчивое втюхивание этого засохнего калового кирпича, что тошно. Видимо никогда в жизни не дождёмся адекватного качества и сервиса. Давал шанс, уже отговорил жену от скачивания, продолжу агитацию. Без обид, но насколько глупыми надо быть, чтоб не смочь сделать элементарный видеохостинг. Просто позор. До лучших (нет) времен, попытка реинкарнации столетнего цифрового трупа",Негативная
Трафик жрëт как не в себя. Не надо не рутюба не ютюба. Всё никак ненажрëтесь? Смотрите себя сами.,Негативная
"Здравствуйте приложение супер, заменяет ютуб и качество лучше. Надеюсь что приложение станет ещё лучше в будущем.",Позитивная
Очень удобное и многофункциональное приложеник,Позитивная
Сделайте нормальную перемотку видео с мобильного телефона. Поясняю: тыкая в бегунок и двигая его вправо - приложение сворачивается и улетает вниз. Из 15 попыток и уже красный от гнева - 1 попытка возможно будет удачной. Даже в изоленте Лайф об этом говорили 🤔,Негативная
"Когда Вы сделаете приложение, что бы оно могло поддерживать телевизионный формат адекватно, хотя бы как на YouTube?",Нейтральная
"Приложение отличное, радует своим функционалом",Позитивная
"Очень нравится приложение, классные подборки, разные категории. Теперь нет проблем с выбором, что посмотреть",Позитивная
Там где очень слабая скорость смотреть невозможно Дайте качества 144 и 240,Негативная
"Работает хорошо, не тормозит вроде, хотя все пишут что тормозит",Позитивная
"Очень неудобная навигация. На главной нет функции ""продолжить просмотр"", нужно лезть не пойми куда. После окончания просмотра включаются видео, которые вообще не в тему. На ТВ и отключить автовозароизведение не смогла. Много видео висит вкл которые не возможно, т к закончились права на трансляцию. И это я только неделю пользуюсь.",Негативная
Совершенно не возможно смотреть видео. Постоянно виснет. Просмотр чего либо просто пытка. Удалял приложение и заново установил. Кеш очистил. С интернетом всё в порядке. Беда просто.,Негативная
Видео просто не грузятся.,Негативная
Полное г.вно,Негативная
"Здравствуйте у меня огромная просьба при повороте экрана добавьте пожалуйста замок слева внизу для блокировки экрана. Это максимально помогает для просмотра видео на гаджетах и дает пользователю комфорт чтоб даже если экран задел ничего не сбивалось, а в самом замке при повторном нажатии выбор качества, выбор скорости, ну впрочем чтоб это было как оболочка по краям экрана и замок исчезал до повторного нажатия , блин ну очень хочется эту фишку как в грен тубе или же пуре тубер ... Будет топ . 🙃",Негативная
"Когда вы изобретете функцию блокировки каналов? Больше всего не хватает, ибо очень много мусорного контента",Нейтральная
"Это хорошо , что есть движение в сторону развития. Развивайтесь ещё быстрее.",Позитивная
Качество картинки. Новинки кино и сериалов. Тв онлайн. Альтернатива ТНТ Премьер (платной платформе). Можно увидеть кино от фестивалей. Бесплатно.,Позитивная
"Добрый вечер. Приложение совершенно не адаптировано под мобильный интернет, хотя через другое приложение, или браузер нет проблем с просмотром и загрузкой видео.",Негативная
Прекрасное приложение,Позитивная
"Загрузил так на всякий случай, в целом приложение классное",Позитивная
Приложение очень удобное и лёгкое в использовании. Теперь буду смотреть только сдесь. ВСЕМ РЕКОМЕНДУЮ.,Позитивная
"Приложение мне понравилось, видно как оно прогрессирует, но ему ещё есть куда стремиться. Удивило отсутствие фильтрации рекомендаций, я не хочу смотреть битву экстрасенсов) добавьте функцию ""не интересно "" в действии к ролику",Позитивная
"Очень хорошее приложение!!! Скачала давно и пользуюсь каждый день!!! Я рада, спасибо!!!!",Позитивная
Осень даже прикольное приложение. Много интересных ых видяшек посмотрела.,Позитивная
"Как только скачала приложение, сразу поступил звонок, по ходу разговора поняла, что это мошенники. Начал из далека: не хотите -ли найти работу онлайн? Картами каких банков пользуетесь? А приложение даже не стала использовать, сразу удалила.",Негативная
Очень хороший аналог!,Позитивная
программа великолепна🎖🎖🎖🎖🎖,Позитивная
"Унынье кривое. Перемотать в начало стрима нельзя, постоянно теряет связь, тупит и доставляет массу гемороя. Злость ппц. Есть и оооочень удобно-приятные фишки, это да, даж в чем-то удобнее ютуба, но, вышеозначенные косяки перечеркивают все!",Негативная
Ставлю 5,Позитивная
Все очень хорошо приложение просто топ👍,Позитивная
"Все в одном приложении, круто! Различный контент, эфиры, работает без глюков. Пользуюсь с удовольствием.",Позитивная
Харошая приважанйя👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Позитивная
"Очень нравится, недочётов не вижу, но есть одно - но, на счёт телеканалов. Добавьте телеканал: НСТ, прошу вас товарищи разработчики",Позитивная
"Все работает,очень быстро",Позитивная
"Приложение Rutube является удобным и функциональным сервисом для просмотра и загрузки видео контента. Оно предлагает широкий выбор категорий и разнообразные фильтры поиска, что позволяет легко находить интересующие видео. Благодаря своему интуитивно понятному интерфейсу и стабильной работе, это приложение становится незаменимым инструментом для всех любителей онлайн-видео.",Позитивная
"Очень хороший аналог ютуба, много интересного, интерфейс приятный, не хватает рилс и хорошего контента",Позитивная
"Приложение всем устраивает, кроме ленты подписок(поэтому минус одна звезда). В общей ленте не появляются видео с половины каналов, приходится щелкать по ярлыкам каналов чтоб увидеть что там появилось новое видео.",Нейтральная
"Рад бы пользоваться, но приложение периодически забывает меня. Надоело постоянно авторизоваться.",Негативная
"Надо ещё многое доработать, почему в комментариях видна одна строчка?да скопируйте просто интерфейс Ютуб,чтоб было приятно смотреть.",Негативная
Постоянно слитает регистрация на тв приставках рекомендации полный отстой мне ваши П Воли и Бузовы НАХ не нужны и ру т не любит правду,Негативная
"постоянно происходит вылет из акаунта , можно войти в акаунт и при просмотре видео ты уже вылетаеш , а иногда и пару дней можеш продерржаться и это уже счастье",Негативная
"Разработчики, почему в приложении комментарии под видео не отображаются полностью? нельзя написать ответ комментатору, и/или прочитать ответы на конкретный комментарий! Хотя на сайте комментарии работают в привычном виде, и можно давать ответ конкретному комментатору... спасибо за ответ, отношусь с пониманием, на всë рук не хватает, всë как у всех, буду ждать результата, и оценку изменю, в целом, приложение удобное",Негативная
Что мы играем в игру деньги не переводят,Мусор
"Здравствуйте, приложение очень нравится, лишь одна просьба- добавить Коми язык.",Позитивная
нее ребята вам ещё не до ютюба. Но надо делать не как ютюб а более хорошее . знаю не легко вам но старайтесь,Негативная
Отличный аналог ютюба. И свой радной,Позитивная
"Ужасная реализация приложения, видео вылетают при просмотре. История просмотра не сохраняется.",Негативная
"Не могу залогиниться ч/з Браузер Chrome на Android смартфоне Xiaomi. Браузер последний, пробовал моб. и полн.версии. Захожу ч/з почту. Ввожу адрес почты. При нажатии кнопки «Продолжить» в ней крутится анимация, а потом появляется сообщение «Invalid captcha» красного цвета. При этом нигде нет никаких полей для проверки. Очень нужно войти.. 😬",Негативная
Не удобное крайне приложение,Негативная
"Аналог Ютюба,хорошее приложение всем советую)))",Позитивная
РУТЪЮБ СЛАВА ТЕБЕ! ТЫ БУДЕШЬ НОМЕР 1 ТЫ УЖЕ КРУЧЕ ют. ба ТЫ РАБОТАЕШЬ ДАЖЕ В СВЁРНУТОМ ФОРМАТЕ! ДАВАЙ ВПЕРЁД! НАВАЛЯЕМ ИМ....,Позитивная
"Смотрю на смарт тв sony bravia, проблемы безпричинного вылета из аккаунта несколько раз в день,а без входа подписки не видны.Обратился в поддержку,исправили видимо там,вылеты закончились,спасибо,уже неделю полёт нормальный.5 звёзд. Просьба,при просмотре коротких видео 15 сек я вижу шкалу времени секунд 8,вообщем только половина видео к просмотру. Сделайте как на ютуб, первым нажатием пропадает шкала времени и названия ,а вторым уже выход с просмотра. Спасибо.",Негативная
"За всё время существования уже можно было сделать, чтобы видео шли без постоянной подгрузки",Негативная
"Ужасное отображение, без WiFi постоянные зависания. Это не возможно смотреть. Как было не оптимизировано, так и осталось. Ничего не меняется.",Негативная
Как войти в аккаунт на смарт тв если нет компьютера?,Нейтральная
"Мне не понравилось начало долго не приходил код, а потом всё зависло.",Негативная
"Нормально ,что будет дальше поглидим.",Нейтральная
Крассивое.,Позитивная
Ок,Нейтральная
Бомба,Позитивная
Такое себе можно делать как в ютубе ну просто смотреть не возможно,Негативная
✋👍,Позитивная
"А чего не прошлогодние эфиры?, я сегодняшние новости посмотреть хотел, но нет! Только 4 девной давности записи!!! Это все равно, что прокисший суп! Сколько не интересуюсь Рутюбом, понимаю, что делают его специальные саботажники.",Негативная
👍,Позитивная
"Хорошее приложение, очень удобное для тех кто работает👍👍👍😍😍😍СПАСИБО ЗА УДОБСТВО! ❤️❤️❤️",Позитивная
"Даже если закроют ютюб,рутюб никогда не будет номером 1. Дешёвка какая то...не интересно...фильмов нет,музыки нет,одно старьё,которое и на ютюбе есть и на других платформах. Третий сорт. Тогда уж лучше телеграм скачать. Жаль потраченного времени. И одной звезды жалко.",Негативная
"Видео нормально проходит, но на телевизоре нужно каждый раз авторизоваться, почему? первое время нормально было, а потом когда заходишь в рутуб, нужно входить в аккаунт. Переустановил на телефоне и на планшете, войти в аккаунт на тевизоре невозможно. Не принимает код в браузере. Всё мёртво А как перустановить? Ок, благодарю!",Негативная
Имбовое приложение один из лучших аналогов Ютуба очень понравилось рекомендую,Позитивная
"дорогие разрабы,две болячки,которые вы никак не можете победить,хотя не знаю,пытаетесь или нет,уведомления,которые живут отдельно от приложения и приходят когда им вздумается,могут и через три дня и удаление уведомлений свайпом!Только не надо писать про переустановить,очистить кэш,выключить энергосбережение,все это делалось миллион раз,также не надо просить данные устройства,они у вас есть,пишу не первый раз!!!",Негативная
"Приложение хорошее. Нельзя редактировать свои комментарии, отвечать на комментарии. За рутуб детям отдельное спасибо. Пендосовский ютуб в помойку.",Нейтральная
Мне нравится удобно что можно выйти и появится маленький икран который можно двигать нет минусов,Позитивная
Отличное приложение советую,Позитивная
"Теперь новая напасть - я отписался от всех каналов, но уведомления приходят буд то я на них подписан, что за дела?",Негативная
наверняка когда он станет популярным добавят тариф при оплате которого будут доступны прослушивание в фоновом режиме когда это настанет я перейду в альтернативное приложение а пока все бесплатно буду с вами),Позитивная
"Давно пользуюсь rutube, все было отлично. Но, сейчас отвратительно. Смотрю на телевизоре, постоянно видео зависает. Невозможно уже смотреть. Удаление и чистка ничего не меняет.",Негативная
"Постоянно пишет нет соединения , даже если видео идёт, очень долго погружаются и открываются видео",Негативная
шляпа,Негативная
"Здорого было бы,,,еслибы тоже как ютуб,,,выдовал бы по твоей тематеке,,, потому как человек пожелой, я..и пока дойдеш до видео по твоим интересам,,,такой фигни молодежной насмотришся,, и уже недо смотрин....И постоянно вылетаеш из акаунта, на тсл сморт тв. Бесполезно регестрироватся,,на следующий день, опять выкидывает. Грустно блин.",Негативная
Разве можно хоть на дюйм сравнить ЭТО и Ютюб🤣🤣🤣 Закрывайте это убожище👎👎👎👎,Негативная
"Молодцы, что делайте платформу удобнее",Позитивная
До ютуба далеко. А жаль. Всё работает. Но нечего смотреть,Негативная
"Конечно не равноценная замена ютубу, но приложение хорошее",Нейтральная
"Не пользуйтесь, просто потеряете трафик и время на лаги",Негативная
Приложение очень хорошее но добавьте комментарии,Нейтральная
Топ,Позитивная
Класс 🚀🚀🚀📺📺📺📺,Позитивная
Гав*нное качество видео. 1080p это влучшем случаи 720р,Негативная
"Невозможно смотреть, уже и удалял приложение и кэш чистил, оно просто не работает, интернет хороший все медиа сервисы работают хорошо. Рутуб не работает, 3 секунды показывает, 10 секунд глючит.",Негативная
Почему оно постоянно выходит из аккаунта? Почему оно постоянно просит заново ввести почту и пароль? Нужны плейлисты.,Негативная
Ну такими темпами YouTube обгоните. Молодцы!,Позитивная
"Пока, недостатков не нашла. Всё устраивает",Нейтральная
Хорошее приложение,Позитивная
Не могу найти раздел подключенные устройства для регистрации смарт телевизора. Не разобрался самостоятельно. Прошу помощи.,Негативная
"ТВ-помойка людям за 120,оформление вырвиглазное,вообще как всегд позорище,этохуже ютуба в самом зачатке,поблевать самое-то🤢🤮 я тв с год не смотрю,из-за тупых ток-шоу,всратыхновостей,блевотных сериалов,открыл рутуб у меня аж флешбэки пошли,тело вспотело,в ушах свист,ксати откуда оценка 4.1 у трештуба? Удалите из гугл плэй это недоразумение,всего Вам плохого,неудачники!🤬",Негативная
"Благодарю за русское ТВ заграницей! Вы спасли моих родителей, чтобы смотреть русские сериалы.",Позитивная
"Скудные настройки , не дает телефону уйти в спящий режим, когда на паузе или когда кончается видео , постоянно пропадает связь с интернетом хотя интернет есть , вобщем предложение просто сырое , оно мало функционально и работает через ""шоколадный глаз""",Негативная
лагает каждые 5 секунд,Негативная
там есть видео #$@&%&,Мусор
"Впервые открыл,пока ещё не знаю что это за зверь.",Нейтральная
"Слушайте уже прошло несколько месяцев, а ничего не меняется! Невозможно смотреть ни на смарт ТВ, ни на телефоне. Видео подвисает на несколько секунд! Кеш чистим, приложение переустанавливаем! Вот интересно, Вы сами его смотрите и как Вам?",Негативная
Сделайте шортсы как на Ютубе и тиктоке,Негативная
"что телевизор посмотришь,что рутуб одна пропаганда, ерунда.",Негативная
"Отвратительно, я их в дверь не пускаю, а они в окно лезут.",Негативная
"Пока что нравится, есть передачи - можно смотреть.",Позитивная
Не может прогрузить видео при отличном сигнале интернета.,Негативная
"Приложение нравиться, но звук слабоват что на телевизоре, что на телефоне",Негативная
"Видео и фильмы виснут, грузят через каждые три минуты, раздражает капец😡😡😡думала зависит от скорости воспроизведения, ни фига подобного!!! PS: Сегодня всё работает на 5+! Видимо повлияли погодные условия. Вчера был сильный снегопад. В некоторых районах обрывы эл. проводов. Утром подключилась телез телевизор и работает отлично 👌",Негативная
Классное положение,Позитивная
Нет отзыва,Мусор
Перестал вылетать из аккаунта. Исправили?!,Позитивная
Хорошее приложение.,Позитивная
"Приложение очень хорошее, но почему то уже второй раз при просмотре новостей в нем у меня выключается телефон. Не подскажите как эту проблему исправить?",Нейтральная
"При регистрации по номеру телефона криво работал поиск, не выдавал интересующих каналов",Негативная
"С каждым обновлением все хуже и хуже, войти не возможно, поиск не работает, хочешь посмотреть что-то вот тебе,а не видео",Негативная
